AZ;Z_I;Z_II;S_I;S_II;ÖR_I;ÖR_II;WPF;Dur
0151/18;3,00;7,00;5,00;8,00;7,00;8,00;5,00;6,14
0152/18;6,00;9,00;10,00;12,00;5,00;5,00;10,00;8,14
0153/18;6,00;7,00;6,00;4,00;8,00;7,00;7,00;6,42
0154/18;12,00;9,00;14,00;14,00;9,00;9,00;13,00;11,42
0155/18;3,00;10,00;7,00;5,00;5,00;5,00;4,00;5,57
0156/18;5,00;4,00;5,00;5,00;4,00;3,00;8,00;4,85
0157/18;5,00;11,00;7,00;9,00;10,00;6,00;4,00;7,42
0158/18;9,00;7,00;9,00;12,00;6,00;4,00;9,00;8,00
0159/18;4,00;7,00;8,00;7,00;5,00;3,00;8,00;6,00
0160/18;7,00;7,00;5,00;5,00;7,00;7,00;7,00;6,42
0161/18;6,00;8,00;2,00;6,00;4,00;8,00;5,00;5,57
0162/18;8,00;12,00;6,00;8,00;16,00;9,00;8,00;9,57
0163/18;8,00;10,00;7,00;7,00;8,00;5,00;9,00;7,71
0164/18;5,00;8,00;6,00;7,00;5,00;7,00;3,00;5,85
0165/18;6,00;4,00;11,00;9,00;8,00;8,00;14,00;8,57
0166/18;2,00;5,00;2,00;3,00;5,00;3,00;2,00;3,14
0167/18;3,00;5,00;4,00;3,50;4,00;7,00;9,00;5,07
0168/18;4,00;3,00;6,00;6,00;3,00;9,00;6,00;5,28
0169/18;9,00;13,00;7,00;13,00;10,00;6,00;9,00;9,57
0170/18;5,00;10,00;8,00;6,00;3,00;2,00;7,00;5,85
0171/18;10,00;4,00;7,00;7,00;7,00;4,00;11,00;7,14
0172/18;6,00;2,00;7,00;5,00;3,00;4,00;3,00;4,28
0173/18;1,00;5,00;4,00;8,00;5,00;9,00;2,00;4,85
0174/18;2,00;0,00;5,00;4,00;8,00;3,00;7,00;4,14
0175/18;8,00;7,00;7,00;8,00;6,00;4,00;6,00;6,57
0176/18;11,00;6,00;10,00;7,00;13,00;7,00;14,00;9,71
