AZ;Z I;Z II;S I;S II;OR I;OR II;WPF;Dur
0954/17;7,00;2,00;2,00;7,00;7,00;4,00;9,00;5,42
0981/17;2,00;5,00;4,00;6,00;7,00;6,00;8,00;5,42
1019/17;6,00;4,00;6,00;8,00;6,00;4,00;4,00;5,42
1045/17;7,00;8,00;2,00;3,00;7,00;4,00;7,00;5,42
1046/17;7,00;2,00;6,00;6,00;5,00;7,00;5,00;5,42
1079/17;7,00;5,00;7,00;2,00;4,00;5,00;8,00;5,42
1169/17;5,00;5,00;6,00;1,00;10,00;7,00;4,00;5,42
0989/17;8,00;2,00;5,00;4,00;4,00;7,00;7,00;5,28
1028/17;3,00;4,00;6,00;6,00;3,00;10,00;5,00;5,28
1063/17;9,00;4,00;3,00;3,00;4,00;6,00;8,00;5,28
1125/17;9,00;7,00;3,00;2,00;4,00;5,00;7,00;5,28
1137/17;6,00;6,00;4,00;5,00;7,00;4,00;5,00;5,28
1041/17;3,00;4,00;5,00;3,50;12,00;4,00;5,00;5,21
0086/17;6,00;2,00;5,00;5,00;6,00;5,00;7,00;5,14
0915/17;5,00;8,00;4,00;3,00;6,00;5,00;5,00;5,14
0976/17;4,00;5,00;5,00;6,00;5,00;5,00;6,00;5,14
1048/17;5,00;4,00;3,00;8,00;6,00;5,00;5,00;5,14
1066/17;6,00;2,00;8,00;4,00;6,00;6,00;4,00;5,14
1088/17;6,00;3,00;6,00;5,00;7,00;4,00;5,00;5,14
1108/17;4,00;5,00;7,00;2,00;10,00;5,00;3,00;5,14
1123/17;4,00;6,00;3,00;5,00;9,00;5,00;4,00;5,14
1124/17;6,00;5,00;3,00;6,00;5,00;3,00;8,00;5,14
1155/17;8,00;4,00;5,00;4,00;3,00;5,00;7,00;5,14
0982/17;5,00;8,00;6,00;3,00;5,00;5,00;3,00;5,00
0999/17;5,00;6,00;4,00;3,00;6,00;6,00;5,00;5,00
1013/17;7,00;7,00;3,00;4,00;5,00;2,00;7,00;5,00
1034/17;4,00;6,00;7,00;3,00;3,00;6,00;6,00;5,00
1071/17;2,00;4,00;6,00;2,00;8,00;7,00;6,00;5,00
1077/17;4,00;4,00;3,00;6,00;2,00;11,00;5,00;5,00
1078/17;6,00;3,00;6,00;8,00;4,00;5,00;3,00;5,00
1098/17;8,00;5,00;2,00;5,00;8,00;3,00;4,00;5,00
1053/17;4,00;5,00;4,00;7,00;5,00;4,00;5,00;4,85
1118/17;1,00;5,00;9,00;5,00;3,00;7,50;3,00;4,78
1000/17;6,00;6,00;4,00;4,00;6,00;3,00;4,00;4,71
1021/17;3,00;6,00;2,00;4,00;6,00;9,00;3,00;4,71
1031/17;2,00;5,00;5,00;4,00;5,00;7,00;5,00;4,71
1089/17;3,00;6,00;7,00;6,00;3,00;3,00;5,00;4,71
1131/17;4,00;8,00;4,00;4,00;4,00;5,00;4,00;4,71
1133/17;5,00;3,00;7,00;4,00;3,00;6,00;5,00;4,71
1136/17;6,00;4,00;5,00;8,00;4,00;2,00;4,00;4,71
